urb/no urb,State,County,Fips,Difference in Urban Land 2010-2060,Difference in Urban Tree Cover 2010-2060,Urban Tree Cover Change Index,Difference in Temperature Celsius 2010-2060,Temperature Change Index,Difference in Precipitation mm/year 2010-2060,Absolute Precipitation Change Index,Difference in Aridity 2010-2060,Aridity Change Index,Flood Risk Index,Difference in Sea Level Rise % inundation 2010-2060,Sea Level Rise Index,Wildfire Change Index,Hurricane Threat Index,Tornado Risk Index,Ice Storm Risk Index,Pest Index,CTI
0,New Jersey,Burlington County,34005,32.73078952,1.758580194,-0.050361874,2.415191266,0.68875305,181.5903813,0.542950631,0.148431941,0.366385898,0.138945244,0.044534603,0.092146091,0.049867098,0.387623746,0.089285714,0.034482759,0.611111111,0.596939969
0,New Jersey,Camden County,34007,14.12417136,-5.01769568,0.143695783,2.398514622,0.683997283,177.1797358,0.529762913,0.143040181,0.353077004,0.084777456,0.040169771,0.083114861,0.03899893,0.374094246,0.041666667,0.068965517,0.5,0.587020841
0,New Jersey,Cape May County,34009,30.91029557,7.224544256,-0.206895079,2.021646019,0.576523641,229.1486138,0.685148539,0.111657979,0.275613918,0.322271793,0.152701427,0.315952954,0.0716404,0.446928125,0.035714286,0,0.388888889,0.588970087
0,New Jersey,Cumberland County,34011,27.90392691,0.11151612,-0.003193577,2.280511341,0.650345654,191.7027701,0.573186417,0.127513352,0.314750947,0.097358595,0.012055916,0.024944771,0.061258362,0.398900887,0.041666667,0,0.555555556,0.549120038
0,New Jersey,Essex County,34013,0,-4.687870367,0.13425031,2.533850417,0.722591717,228.6525134,0.683665212,0.226821767,0.559881492,0.088875746,0.017340304,0.035878645,0.070032301,0.320473323,0.005952381,0.068965517,0.5,0.645359023
0,New Jersey,Gloucester County,34015,35.53346895,1.372955973,-0.039318443,2.35946036,0.672859969,173.8559564,0.519824897,0.137552348,0.339530966,0.099315633,0.044676264,0.092439199,0.031980474,0.371570023,0.041666667,0,0.5,0.531946242
0,New Jersey,Hudson County,34017,0,-1.986795834,0.056897469,2.441603245,0.696285096,219.5600565,0.656478996,0.158669916,0.391657073,0.457408386,0.302723724,0.626362549,0.027580224,0.343771645,0.005952381,0,0.611111111,0.783497616
0,New Jersey,Hunterdon County,34019,27.22540549,3.172238528,-0.090845944,2.50654381,0.714804546,189.9811068,0.568038687,0.254402039,0.627959984,0.061563758,0,0,0.02156189,0.285743424,0.053571429,0.068965517,0.666666667,0.602369021
0,New Jersey,Mercer County,34021,29.00257081,-0.207813241,0.005951315,2.424960029,0.691538861,190.7028947,0.570196815,0.181438583,0.447858712,0.105667013,0.016963871,0.035099771,0.019476095,0.344780163,0.05952381,0,0.611111111,0.584806582
0,New Jersey,Middlesex County,34023,12.48533714,-2.843461424,0.08143049,2.503315115,0.713883801,208.5347062,0.623513479,0.185312521,0.45742105,0.123806358,0.051151061,0.105836134,0.038555256,0.352956089,0.011904762,0.034482759,0.611111111,0.638144957
0,New Jersey,Monmouth County,34025,25.00651979,2.269708759,-0.064999473,2.341649196,0.667780664,217.3883502,0.649985649,0.165346206,0.408136671,0.125644064,0.054058122,0.111851104,0.055876857,0.379339597,0.041666667,0.068965517,0.611111111,0.618010326
0,New Jersey,Morris County,34027,0.535874863,-6.363780741,0.182244702,2.535822055,0.72315398,225.8961042,0.675423618,0.295406086,0.729173405,0.134286948,0,0,0.055587326,0.266271065,0.077380952,0.103448276,0.666666667,0.730933864
0,New Jersey,Ocean County,34029,18.5607262,4.383354904,-0.125529656,2.261166855,0.644829083,232.2946767,0.694555187,0.150110557,0.370529355,0.237898936,0.086998492,0.180007686,0.109856757,0.417027315,0.06547619,0,0.388888889,0.60348349
0,New Jersey,Passaic County,34031,0,-5.219575885,0.149477189,2.555999342,0.728908045,237.9546718,0.711478429,0.258184179,0.63729573,0.090235332,0.00166548,0.003446027,0.069915764,0.240984896,0.011904762,0.137931034,0.611111111,0.686242371
0,New Jersey,Salem County,34033,16.07937099,11.08794706,-0.317534449,2.353895003,0.671272866,163.9126857,0.49009477,0.136772604,0.337606266,0.251568002,0.190070593,0.393273112,0.016674271,0.37410819,0.029761905,0,0.5,0.555602955
0,New Jersey,Somerset County,34035,32.59303911,-1.560058703,0.044676655,2.497225137,0.71214709,200.5147805,0.599534104,0.228943193,0.565117971,0.077981908,0.000371689,0.000769059,0.03271096,0.31458386,0.017857143,0.068965517,0.666666667,0.627244502
0,New Jersey,Sussex County,34037,27.33187571,7.703129214,-0.220600701,2.558152698,0.729522129,206.2544736,0.616695641,0.303062598,0.748072558,0.118515103,0,0,0.055097741,0.225515578,0.017857143,0.344827586,0.666666667,0.66793303
0,New Jersey,Union County,34039,0,-4.338895192,0.124256428,2.491838932,0.710611077,220.0194533,0.657852581,0.19462116,0.480398275,0.094536388,0.028110955,0.058164089,0.034346422,0.335272962,0.035714286,0.068965517,0.5,0.627063893
0,New Jersey,Warren County,34041,23.58858668,10.46013978,-0.299555428,2.550756238,0.727412841,193.3681767,0.57816594,0.284205173,0.701525336,0.051026182,0,0,0.022613245,0.230471293,0.023809524,0.103448276,0.666666667,0.567488184
0,New Mexico,Bernalillo County,35001,30.55798719,0.45160006,-0.012932834,2.490032125,0.71009582,7.61548821,0.022770116,0.050766904,0.125311828,0.272517041,0,0,0.011288845,0.006602666,0.005952381,0.034482759,0.666666667,0.372735907
